,Genes,hgnc_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,DR_UR,Type
219,ENSG00000241537,,0.11954805043249161,3.0377427906289305,1.33568992917662,2.27428741077769,0.0026188485406913584,0.005480972426275288,UR,Immune
220,ENSG00000170074,FAM153A,0.6913976021143854,3.7497750472927303,1.1992102343935702,3.1268704516926897,0.001284235934666379,0.0030302920518702112,UR,Immune
221,ENSG00000272345,,0.5617223014597379,3.14453823909877,1.239308700634,2.53733249632646,0.0025815971567678207,0.005407197561387975,UR,Immune
222,ENSG00000204516,MICB,1.0398545985986143,2.82686653265666,1.22473907717126,2.30813777836319,0.00261836034838835,0.005479481413906721,UR,Immune
223,ENSG00000106028,SSBP1,0.7492387709574043,4.00597075149086,1.1392338682498602,3.5163725931401495,0.00040282213159696434,0.001088845633995478,UR,Immune
224,ENSG00000251578,TRBV21-1,0.6892934930762259,3.88438364575394,1.2221966894007599,3.1781984679229103,0.001131123633250202,0.002714856933285291,UR,Immune
225,ENSG00000244307,RN7SL395P,0.3943619452519685,2.9412083611458497,1.29486754981601,2.27143568588445,0.002618876693592122,0.005481062800206993,UR,Immune
226,ENSG00000236607,EEF1DP8,0.8434636965516903,4.04636906492143,1.4103465456365,2.86906014513991,0.0020735732446617826,0.004522755241481261,UR,Immune
227,ENSG00000153531,ADPRHL1,0.28323633228817696,3.10605008539673,1.38434161930029,2.24370201841267,0.0026190787561272567,0.005481743721680779,UR,Immune
228,ENSG00000271656,,0.33481547915222465,3.35488444828426,1.2853557035415302,2.6100825157118597,0.00253534392433792,0.005324361313804041,UR,Immune
229,ENSG00000259254,,0.44776385832668386,3.45423109733106,1.5277994932116599,2.2609191275942595,0.002618967394502956,0.005481354629864606,UR,Immune
230,ENSG00000129028,THAP10,0.5318841531390233,3.44819554590402,1.40225478352819,2.45903639367739,0.002605988397047075,0.005452506858038937,UR,Immune
231,ENSG00000140993,TIGD7,0.6792463287808491,3.7923097212240804,1.2476752310451498,3.03950068644654,0.001558241364505024,0.003571320773619583,UR,Immune
232,ENSG00000197471,SPN,0.7430584449737538,4.0016191102431895,1.1854304905133202,3.37566744087237,0.0006417105086444601,0.0016563577883446025,UR,Immune
233,ENSG00000270020,,0.41219074926668925,3.34379125257634,1.22426538842764,2.73126340431046,0.002381961257170333,0.005058439292802557,UR,Immune
234,ENSG00000158792,SPATA2L,1.0001116129361982,3.52610670577653,1.24107113031165,2.8411801867400404,0.00214657387327642,0.0046549624470185414,UR,Immune
235,ENSG00000266373,,1.4341635566718776,3.64579369826363,1.4246877365941701,2.55901248015174,0.0025706835641211424,0.0053866086744029295,UR,Immune
236,ENSG00000279366,,0.20948065650129677,3.0693772906379904,1.3584170463565202,2.2595250102835,0.0026189780007822186,0.005481386627701794,UR,Immune
